country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2019,9.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Minimum diet diversity (children aged 6 to 23 months),2019,23.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Minimum diet diversity (children aged 6 to 23 months),2013,37,Female,Units,%,External Reanalysis,Free,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Minimum diet diversity (children aged 6 to 23 months),2013,36.8,Male,Units,%,External Reanalysis,Free,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Minimum diet diversity (children aged 6 to 23 months),2013,36.9,Total,Units,%,External Reanalysis,Free,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Minimum diet diversity (children aged 6 to 23 months),2010,62.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Minimum diet diversity (children aged 6 to 23 months),2016,69.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Minimum diet diversity (children aged 6 to 23 months),2010,63,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Minimum diet diversity (children aged 6 to 23 months),2016,68.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Minimum diet diversity (children aged 6 to 23 months),2010,62.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Minimum diet diversity (children aged 6 to 23 months),2016,68.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Minimum diet diversity (children aged 6 to 23 months),2012,24.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Minimum diet diversity (children aged 6 to 23 months),2012,18.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Minimum diet diversity (children aged 6 to 23 months),2012,21.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Minimum diet diversity (children aged 6 to 23 months),2011,18.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Minimum diet diversity (children aged 6 to 23 months),2014,12.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Minimum diet diversity (children aged 6 to 23 months),2011,19.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Minimum diet diversity (children aged 6 to 23 months),2014,15.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Minimum diet diversity (children aged 6 to 23 months),2011,18.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Minimum diet diversity (children aged 6 to 23 months),2014,13.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Minimum diet diversity (children aged 6 to 23 months),2018,75.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Minimum diet diversity (children aged 6 to 23 months),2018,75.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Minimum diet diversity (children aged 6 to 23 months),2018,75.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Minimum diet diversity (children aged 6 to 23 months),2014,70.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Minimum diet diversity (children aged 6 to 23 months),2019,58.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
